resident,invader,initial_fraction,final_fraction,generations_run,fixated,invader_won,seed
Always Cooperate,Always Defect,0.01,0.98828125,50,False,True,42
Always Cooperate,Always Defect,0.01,0.9853515625,50,False,True,143
Always Cooperate,Always Defect,0.01,0.9912109375,50,False,True,244
Always Cooperate,Always Defect,0.01,0.966796875,50,False,True,345
Always Cooperate,Always Defect,0.01,0.966796875,50,False,True,446
Always Cooperate,Always Defect,0.01,0.9794921875,50,False,True,547
Always Cooperate,Always Defect,0.01,0.953125,50,False,True,648
Always Cooperate,Always Defect,0.01,0.9765625,50,False,True,749
Always Cooperate,Always Defect,0.01,0.9794921875,50,False,True,850
Always Cooperate,Always Defect,0.01,0.9609375,50,False,True,951
Always Cooperate,Always Defect,0.01,0.97265625,50,False,True,1052
Always Cooperate,Always Defect,0.01,0.9765625,50,False,True,1153
Always Cooperate,Always Defect,0.01,0.96484375,50,False,True,1254
Always Cooperate,Always Defect,0.01,0.982421875,50,False,True,1355
Always Cooperate,Always Defect,0.01,0.9736328125,50,False,True,1456
Always Cooperate,Always Defect,0.01,0.9853515625,50,False,True,1557
Always Cooperate,Always Defect,0.01,0.9912109375,50,False,True,1658
Always Cooperate,Always Defect,0.01,0.947265625,50,False,True,1759
Always Cooperate,Always Defect,0.01,0.9912109375,50,False,True,1860
Always Cooperate,Always Defect,0.01,0.9716796875,50,False,True,1961
Always Cooperate,Always Defect,0.01,0.9736328125,50,False,True,2062
Always Cooperate,Always Defect,0.01,0.982421875,50,False,True,2163
Always Cooperate,Always Defect,0.01,0.98828125,50,False,True,2264
Always Cooperate,Always Defect,0.01,0.982421875,50,False,True,2365
Always Cooperate,Always Defect,0.01,0.9677734375,50,False,True,2466
Always Cooperate,Always Defect,0.01,0.9560546875,50,False,True,2567
Always Cooperate,Always Defect,0.01,1.0,12,True,True,2668
Always Cooperate,Always Defect,0.01,0.96875,50,False,True,2769
Always Cooperate,Always Defect,0.01,0.966796875,50,False,True,2870
Always Cooperate,Always Defect,0.01,0.97265625,50,False,True,2971
Always Cooperate,Always Defect,0.01,1.0,14,True,True,3072
Always Cooperate,Always Defect,0.01,0.94140625,50,False,True,3173
Always Cooperate,Always Defect,0.01,0.98828125,50,False,True,3274
Always Cooperate,Always Defect,0.01,0.9423828125,50,False,True,3375
Always Cooperate,Always Defect,0.01,0.9345703125,50,False,True,3476
Always Cooperate,Always Defect,0.01,0.9912109375,50,False,True,3577
Always Cooperate,Always Defect,0.01,0.9638671875,50,False,True,3678
Always Cooperate,Always Defect,0.01,0.9912109375,50,False,True,3779
Always Cooperate,Always Defect,0.01,1.0,15,True,True,3880
Always Cooperate,Always Defect,0.01,0.9609375,50,False,True,3981
Always Cooperate,Always Defect,0.01,0.9765625,50,False,True,4082
Always Cooperate,Always Defect,0.01,0.9912109375,50,False,True,4183
Always Cooperate,Always Defect,0.01,0.966796875,50,False,True,4284
Always Cooperate,Always Defect,0.01,0.9189453125,50,False,True,4385
Always Cooperate,Always Defect,0.01,0.984375,50,False,True,4486
Always Cooperate,Always Defect,0.01,0.9912109375,50,False,True,4587
Always Cooperate,Always Defect,0.01,0.9912109375,50,False,True,4688
Always Cooperate,Always Defect,0.01,0.951171875,50,False,True,4789
Always Cooperate,Always Defect,0.01,0.984375,50,False,True,4890
Always Cooperate,Always Defect,0.01,0.982421875,50,False,True,4991
Always Cooperate,Always Defect,0.02,0.98828125,50,False,True,10049
Always Cooperate,Always Defect,0.02,1.0,13,True,True,10150
Always Cooperate,Always Defect,0.02,0.9853515625,50,False,True,10251
Always Cooperate,Always Defect,0.02,0.966796875,50,False,True,10352
Always Cooperate,Always Defect,0.02,1.0,11,True,True,10453
Always Cooperate,Always Defect,0.02,0.9765625,50,False,True,10554
Always Cooperate,Always Defect,0.02,0.970703125,50,False,True,10655
Always Cooperate,Always Defect,0.02,0.9912109375,50,False,True,10756
Always Cooperate,Always Defect,0.02,0.9912109375,50,False,True,10857
Always Cooperate,Always Defect,0.02,0.98828125,50,False,True,10958
Always Cooperate,Always Defect,0.02,0.984375,50,False,True,11059
Always Cooperate,Always Defect,0.02,0.970703125,50,False,True,11160
Always Cooperate,Always Defect,0.02,1.0,16,True,True,11261
Always Cooperate,Always Defect,0.02,0.966796875,50,False,True,11362
Always Cooperate,Always Defect,0.02,1.0,8,True,True,11463
Always Cooperate,Always Defect,0.02,0.98828125,50,False,True,11564
Always Cooperate,Always Defect,0.02,0.95703125,50,False,True,11665
Always Cooperate,Always Defect,0.02,1.0,8,True,True,11766
Always Cooperate,Always Defect,0.02,0.98828125,50,False,True,11867
Always Cooperate,Always Defect,0.02,0.9658203125,50,False,True,11968
Always Cooperate,Always Defect,0.02,0.984375,50,False,True,12069
Always Cooperate,Always Defect,0.02,0.962890625,50,False,True,12170
Always Cooperate,Always Defect,0.02,0.96484375,50,False,True,12271
Always Cooperate,Always Defect,0.02,0.98828125,50,False,True,12372
Always Cooperate,Always Defect,0.02,0.95703125,50,False,True,12473
Always Cooperate,Always Defect,0.02,0.9912109375,50,False,True,12574
Always Cooperate,Always Defect,0.02,0.9912109375,50,False,True,12675
Always Cooperate,Always Defect,0.02,0.9677734375,50,False,True,12776
Always Cooperate,Always Defect,0.02,1.0,11,True,True,12877
Always Cooperate,Always Defect,0.02,1.0,8,True,True,12978
Always Cooperate,Always Defect,0.02,0.98828125,50,False,True,13079
Always Cooperate,Always Defect,0.02,0.9912109375,50,False,True,13180
Always Cooperate,Always Defect,0.02,0.984375,50,False,True,13281
Always Cooperate,Always Defect,0.02,0.98828125,50,False,True,13382
Always Cooperate,Always Defect,0.02,0.98828125,50,False,True,13483
Always Cooperate,Always Defect,0.02,0.98046875,50,False,True,13584
Always Cooperate,Always Defect,0.02,0.9912109375,50,False,True,13685
Always Cooperate,Always Defect,0.02,0.9638671875,50,False,True,13786
Always Cooperate,Always Defect,0.02,0.9716796875,50,False,True,13887
Always Cooperate,Always Defect,0.02,1.0,10,True,True,13988
Always Cooperate,Always Defect,0.02,1.0,11,True,True,14089
Always Cooperate,Always Defect,0.02,0.9765625,50,False,True,14190
Always Cooperate,Always Defect,0.02,0.9794921875,50,False,True,14291
Always Cooperate,Always Defect,0.02,0.98046875,50,False,True,14392
Always Cooperate,Always Defect,0.02,1.0,12,True,True,14493
Always Cooperate,Always Defect,0.02,0.9736328125,50,False,True,14594
Always Cooperate,Always Defect,0.02,0.9912109375,50,False,True,14695
Always Cooperate,Always Defect,0.02,0.984375,50,False,True,14796
Always Cooperate,Always Defect,0.02,0.9794921875,50,False,True,14897
Always Cooperate,Always Defect,0.02,0.984375,50,False,True,14998
Always Cooperate,Always Defect,0.05,0.98828125,50,False,True,20056
Always Cooperate,Always Defect,0.05,0.9765625,50,False,True,20157
Always Cooperate,Always Defect,0.05,1.0,6,True,True,20258
Always Cooperate,Always Defect,0.05,1.0,6,True,True,20359
Always Cooperate,Always Defect,0.05,0.9716796875,50,False,True,20460
Always Cooperate,Always Defect,0.05,0.98828125,50,False,True,20561
Always Cooperate,Always Defect,0.05,0.9794921875,50,False,True,20662
Always Cooperate,Always Defect,0.05,0.98828125,50,False,True,20763
Always Cooperate,Always Defect,0.05,1.0,8,True,True,20864
Always Cooperate,Always Defect,0.05,1.0,6,True,True,20965
Always Cooperate,Always Defect,0.05,0.9736328125,50,False,True,21066
Always Cooperate,Always Defect,0.05,0.98828125,50,False,True,21167
Always Cooperate,Always Defect,0.05,1.0,6,True,True,21268
Always Cooperate,Always Defect,0.05,1.0,6,True,True,21369
Always Cooperate,Always Defect,0.05,0.984375,50,False,True,21470
Always Cooperate,Always Defect,0.05,0.9912109375,50,False,True,21571
Always Cooperate,Always Defect,0.05,0.9853515625,50,False,True,21672
Always Cooperate,Always Defect,0.05,1.0,8,True,True,21773
Always Cooperate,Always Defect,0.05,1.0,6,True,True,21874
Always Cooperate,Always Defect,0.05,1.0,5,True,True,21975
Always Cooperate,Always Defect,0.05,1.0,6,True,True,22076
Always Cooperate,Always Defect,0.05,0.9794921875,50,False,True,22177
Always Cooperate,Always Defect,0.05,0.970703125,50,False,True,22278
Always Cooperate,Always Defect,0.05,0.98828125,50,False,True,22379
Always Cooperate,Always Defect,0.05,0.9912109375,50,False,True,22480
Always Cooperate,Always Defect,0.05,1.0,10,True,True,22581
Always Cooperate,Always Defect,0.05,0.98046875,50,False,True,22682
Always Cooperate,Always Defect,0.05,0.9677734375,50,False,True,22783
Always Cooperate,Always Defect,0.05,0.982421875,50,False,True,22884
Always Cooperate,Always Defect,0.05,0.9912109375,50,False,True,22985
Always Cooperate,Always Defect,0.05,1.0,8,True,True,23086
Always Cooperate,Always Defect,0.05,1.0,7,True,True,23187
Always Cooperate,Always Defect,0.05,1.0,6,True,True,23288
Always Cooperate,Always Defect,0.05,0.98828125,50,False,True,23389
Always Cooperate,Always Defect,0.05,0.9912109375,50,False,True,23490
Always Cooperate,Always Defect,0.05,1.0,7,True,True,23591
Always Cooperate,Always Defect,0.05,1.0,6,True,True,23692
Always Cooperate,Always Defect,0.05,1.0,6,True,True,23793
Always Cooperate,Always Defect,0.05,1.0,5,True,True,23894
Always Cooperate,Always Defect,0.05,1.0,7,True,True,23995
Always Cooperate,Always Defect,0.05,0.9736328125,50,False,True,24096
Always Cooperate,Always Defect,0.05,0.9912109375,50,False,True,24197
Always Cooperate,Always Defect,0.05,1.0,7,True,True,24298
Always Cooperate,Always Defect,0.05,0.9912109375,50,False,True,24399
Always Cooperate,Always Defect,0.05,0.9736328125,50,False,True,24500
Always Cooperate,Always Defect,0.05,1.0,6,True,True,24601
Always Cooperate,Always Defect,0.05,0.9794921875,50,False,True,24702
Always Cooperate,Always Defect,0.05,0.962890625,50,False,True,24803
Always Cooperate,Always Defect,0.05,0.98828125,50,False,True,24904
Always Cooperate,Always Defect,0.05,0.9912109375,50,False,True,25005
Always Cooperate,Always Defect,0.1,1.0,5,True,True,30063
Always Cooperate,Always Defect,0.1,0.9853515625,50,False,True,30164
Always Cooperate,Always Defect,0.1,0.9794921875,50,False,True,30265
Always Cooperate,Always Defect,0.1,1.0,5,True,True,30366
Always Cooperate,Always Defect,0.1,1.0,5,True,True,30467
Always Cooperate,Always Defect,0.1,0.98828125,50,False,True,30568
Always Cooperate,Always Defect,0.1,1.0,6,True,True,30669
Always Cooperate,Always Defect,0.1,0.9853515625,50,False,True,30770
Always Cooperate,Always Defect,0.1,1.0,8,True,True,30871
Always Cooperate,Always Defect,0.1,1.0,4,True,True,30972
Always Cooperate,Always Defect,0.1,0.98828125,50,False,True,31073
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31174
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31275
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31376
Always Cooperate,Always Defect,0.1,0.9794921875,50,False,True,31477
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31578
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31679
Always Cooperate,Always Defect,0.1,0.98828125,50,False,True,31780
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31881
Always Cooperate,Always Defect,0.1,1.0,7,True,True,31982
Always Cooperate,Always Defect,0.1,0.9912109375,50,False,True,32083
Always Cooperate,Always Defect,0.1,1.0,4,True,True,32184
Always Cooperate,Always Defect,0.1,0.98828125,50,False,True,32285
Always Cooperate,Always Defect,0.1,1.0,4,True,True,32386
Always Cooperate,Always Defect,0.1,1.0,5,True,True,32487
Always Cooperate,Always Defect,0.1,1.0,5,True,True,32588
Always Cooperate,Always Defect,0.1,1.0,5,True,True,32689
Always Cooperate,Always Defect,0.1,1.0,5,True,True,32790
Always Cooperate,Always Defect,0.1,0.9912109375,50,False,True,32891
Always Cooperate,Always Defect,0.1,1.0,6,True,True,32992
Always Cooperate,Always Defect,0.1,1.0,6,True,True,33093
Always Cooperate,Always Defect,0.1,0.9912109375,50,False,True,33194
Always Cooperate,Always Defect,0.1,0.98046875,50,False,True,33295
Always Cooperate,Always Defect,0.1,0.9912109375,50,False,True,33396
Always Cooperate,Always Defect,0.1,1.0,4,True,True,33497
Always Cooperate,Always Defect,0.1,0.9912109375,50,False,True,33598
Always Cooperate,Always Defect,0.1,0.9794921875,50,False,True,33699
Always Cooperate,Always Defect,0.1,0.98828125,50,False,True,33800
Always Cooperate,Always Defect,0.1,1.0,5,True,True,33901
Always Cooperate,Always Defect,0.1,0.96484375,50,False,True,34002
Always Cooperate,Always Defect,0.1,0.98828125,50,False,True,34103
Always Cooperate,Always Defect,0.1,0.9912109375,50,False,True,34204
Always Cooperate,Always Defect,0.1,1.0,4,True,True,34305
Always Cooperate,Always Defect,0.1,0.9912109375,50,False,True,34406
Always Cooperate,Always Defect,0.1,1.0,4,True,True,34507
Always Cooperate,Always Defect,0.1,0.9912109375,50,False,True,34608
Always Cooperate,Always Defect,0.1,1.0,6,True,True,34709
Always Cooperate,Always Defect,0.1,0.982421875,50,False,True,34810
Always Cooperate,Always Defect,0.1,1.0,4,True,True,34911
Always Cooperate,Always Defect,0.1,0.9755859375,50,False,True,35012
Always Cooperate,Always Defect,0.15,0.9912109375,50,False,True,40070
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40171
Always Cooperate,Always Defect,0.15,1.0,4,True,True,40272
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40373
Always Cooperate,Always Defect,0.15,0.9912109375,50,False,True,40474
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40575
Always Cooperate,Always Defect,0.15,0.9853515625,50,False,True,40676
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40777
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40878
Always Cooperate,Always Defect,0.15,0.98828125,50,False,True,40979
Always Cooperate,Always Defect,0.15,1.0,3,True,True,41080
Always Cooperate,Always Defect,0.15,1.0,4,True,True,41181
Always Cooperate,Always Defect,0.15,1.0,3,True,True,41282
Always Cooperate,Always Defect,0.15,1.0,3,True,True,41383
Always Cooperate,Always Defect,0.15,1.0,4,True,True,41484
Always Cooperate,Always Defect,0.15,0.9912109375,50,False,True,41585
Always Cooperate,Always Defect,0.15,0.98828125,50,False,True,41686
Always Cooperate,Always Defect,0.15,0.98828125,50,False,True,41787
Always Cooperate,Always Defect,0.15,1.0,5,True,True,41888
Always Cooperate,Always Defect,0.15,1.0,4,True,True,41989
Always Cooperate,Always Defect,0.15,1.0,5,True,True,42090
Always Cooperate,Always Defect,0.15,0.9912109375,50,False,True,42191
Always Cooperate,Always Defect,0.15,1.0,3,True,True,42292
Always Cooperate,Always Defect,0.15,1.0,5,True,True,42393
Always Cooperate,Always Defect,0.15,0.9912109375,50,False,True,42494
Always Cooperate,Always Defect,0.15,1.0,3,True,True,42595
Always Cooperate,Always Defect,0.15,1.0,4,True,True,42696
Always Cooperate,Always Defect,0.15,0.9912109375,50,False,True,42797
Always Cooperate,Always Defect,0.15,1.0,4,True,True,42898
Always Cooperate,Always Defect,0.15,0.982421875,50,False,True,42999
Always Cooperate,Always Defect,0.15,1.0,5,True,True,43100
Always Cooperate,Always Defect,0.15,0.9912109375,50,False,True,43201
Always Cooperate,Always Defect,0.15,1.0,4,True,True,43302
Always Cooperate,Always Defect,0.15,1.0,3,True,True,43403
Always Cooperate,Always Defect,0.15,1.0,3,True,True,43504
Always Cooperate,Always Defect,0.15,0.9794921875,50,False,True,43605
Always Cooperate,Always Defect,0.15,1.0,3,True,True,43706
Always Cooperate,Always Defect,0.15,1.0,4,True,True,43807
Always Cooperate,Always Defect,0.15,0.9677734375,50,False,True,43908
Always Cooperate,Always Defect,0.15,1.0,4,True,True,44009
Always Cooperate,Always Defect,0.15,0.9853515625,50,False,True,44110
Always Cooperate,Always Defect,0.15,1.0,4,True,True,44211
Always Cooperate,Always Defect,0.15,1.0,4,True,True,44312
Always Cooperate,Always Defect,0.15,0.982421875,50,False,True,44413
Always Cooperate,Always Defect,0.15,0.9912109375,50,False,True,44514
Always Cooperate,Always Defect,0.15,1.0,5,True,True,44615
Always Cooperate,Always Defect,0.15,0.98828125,50,False,True,44716
Always Cooperate,Always Defect,0.15,0.9912109375,50,False,True,44817
Always Cooperate,Always Defect,0.15,1.0,4,True,True,44918
Always Cooperate,Always Defect,0.15,1.0,4,True,True,45019
Always Cooperate,Always Defect,0.2,0.98828125,50,False,True,50077
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50178
Always Cooperate,Always Defect,0.2,1.0,4,True,True,50279
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50380
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50481
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50582
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50683
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50784
Always Cooperate,Always Defect,0.2,0.9912109375,50,False,True,50885
Always Cooperate,Always Defect,0.2,1.0,4,True,True,50986
Always Cooperate,Always Defect,0.2,0.9853515625,50,False,True,51087
Always Cooperate,Always Defect,0.2,1.0,3,True,True,51188
Always Cooperate,Always Defect,0.2,1.0,3,True,True,51289
Always Cooperate,Always Defect,0.2,1.0,4,True,True,51390
Always Cooperate,Always Defect,0.2,1.0,4,True,True,51491
Always Cooperate,Always Defect,0.2,0.9912109375,50,False,True,51592
Always Cooperate,Always Defect,0.2,0.9912109375,50,False,True,51693
Always Cooperate,Always Defect,0.2,0.9912109375,50,False,True,51794
Always Cooperate,Always Defect,0.2,1.0,4,True,True,51895
Always Cooperate,Always Defect,0.2,1.0,3,True,True,51996
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52097
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52198
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52299
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52400
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52501
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52602
Always Cooperate,Always Defect,0.2,0.98828125,50,False,True,52703
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52804
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52905
Always Cooperate,Always Defect,0.2,1.0,4,True,True,53006
Always Cooperate,Always Defect,0.2,1.0,4,True,True,53107
Always Cooperate,Always Defect,0.2,1.0,3,True,True,53208
Always Cooperate,Always Defect,0.2,0.9912109375,50,False,True,53309
Always Cooperate,Always Defect,0.2,1.0,3,True,True,53410
Always Cooperate,Always Defect,0.2,1.0,3,True,True,53511
Always Cooperate,Always Defect,0.2,1.0,4,True,True,53612
Always Cooperate,Always Defect,0.2,1.0,3,True,True,53713
Always Cooperate,Always Defect,0.2,1.0,3,True,True,53814
Always Cooperate,Always Defect,0.2,1.0,5,True,True,53915
Always Cooperate,Always Defect,0.2,1.0,2,True,True,54016
Always Cooperate,Always Defect,0.2,1.0,4,True,True,54117
Always Cooperate,Always Defect,0.2,0.9912109375,50,False,True,54218
Always Cooperate,Always Defect,0.2,0.9912109375,50,False,True,54319
Always Cooperate,Always Defect,0.2,1.0,3,True,True,54420
Always Cooperate,Always Defect,0.2,0.9912109375,50,False,True,54521
Always Cooperate,Always Defect,0.2,0.98828125,50,False,True,54622
Always Cooperate,Always Defect,0.2,1.0,3,True,True,54723
Always Cooperate,Always Defect,0.2,0.9912109375,50,False,True,54824
Always Cooperate,Always Defect,0.2,1.0,3,True,True,54925
Always Cooperate,Always Defect,0.2,1.0,3,True,True,55026
Always Cooperate,Always Defect,0.25,0.9912109375,50,False,True,60084
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60185
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60286
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60387
