resident,invader,initial_fraction,mean_final_fraction,std_final_fraction,invasion_rate,mean_generations,n_seeds
Always Cooperate,Always Defect,0.01,0.97431640625,0.017666755459630513,1.0,47.82,50
Always Cooperate,Always Defect,0.02,0.98369140625,0.012548438440035581,1.0,42.16,50
Always Cooperate,Always Defect,0.05,0.9899609375,0.010675924746850491,1.0,31.76,50
Always Cooperate,Always Defect,0.1,0.9934375,0.00845391876743015,1.0,25.74,50
Always Cooperate,Always Defect,0.15,0.99513671875,0.007239666612850228,1.0,21.32,50
Always Cooperate,Always Defect,0.2,0.997421875,0.004493660334197396,1.0,15.42,50
Always Cooperate,Always Defect,0.25,0.99916015625,0.002998695660892157,1.0,6.46,50
Always Cooperate,Always Defect,0.3,0.9991796875,0.0028410540315531216,1.0,5.94,50
Always Cooperate,Always Defect,0.35,0.99982421875,0.0012429611388044607,1.0,2.98,50
Always Cooperate,Always Defect,0.4,0.999765625,0.0016572815184059944,1.0,2.96,50
Always Cooperate,Always Defect,0.45,1.0,0.0,1.0,1.94,50
Always Cooperate,Always Defect,0.5,1.0,0.0,1.0,1.86,50
Always Cooperate,Always Defect,0.55,1.0,0.0,1.0,1.62,50
Always Cooperate,Always Defect,0.6,1.0,0.0,1.0,1.36,50
Always Cooperate,Always Defect,0.65,1.0,0.0,1.0,1.18,50
Always Cooperate,Always Defect,0.7,1.0,0.0,1.0,1.1,50
Always Cooperate,Always Defect,0.75,1.0,0.0,1.0,1.1,50
Always Cooperate,Always Defect,0.8,1.0,0.0,1.0,1.0,50
Always Cooperate,Always Defect,0.85,1.0,0.0,1.0,1.0,50
Always Cooperate,Always Defect,0.9,1.0,0.0,1.0,1.0,50
Always Cooperate,Always Defect,0.95,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.2),0.01,1.0,0.0,1.0,11.38,50
Always Cooperate,Random(p=0.2),0.02,1.0,0.0,1.0,9.02,50
Always Cooperate,Random(p=0.2),0.05,1.0,0.0,1.0,6.62,50
Always Cooperate,Random(p=0.2),0.1,1.0,0.0,1.0,5.08,50
Always Cooperate,Random(p=0.2),0.15,1.0,0.0,1.0,4.12,50
Always Cooperate,Random(p=0.2),0.2,1.0,0.0,1.0,3.58,50
Always Cooperate,Random(p=0.2),0.25,1.0,0.0,1.0,2.56,50
Always Cooperate,Random(p=0.2),0.3,1.0,0.0,1.0,2.14,50
Always Cooperate,Random(p=0.2),0.35,1.0,0.0,1.0,2.04,50
Always Cooperate,Random(p=0.2),0.4,1.0,0.0,1.0,2.0,50
Always Cooperate,Random(p=0.2),0.45,1.0,0.0,1.0,1.96,50
Always Cooperate,Random(p=0.2),0.5,1.0,0.0,1.0,2.0,50
Always Cooperate,Random(p=0.2),0.55,1.0,0.0,1.0,1.5,50
Always Cooperate,Random(p=0.2),0.6,1.0,0.0,1.0,1.28,50
Always Cooperate,Random(p=0.2),0.65,1.0,0.0,1.0,1.1,50
Always Cooperate,Random(p=0.2),0.7,1.0,0.0,1.0,1.02,50
Always Cooperate,Random(p=0.2),0.75,1.0,0.0,1.0,1.02,50
Always Cooperate,Random(p=0.2),0.8,1.0,0.0,1.0,1.02,50
Always Cooperate,Random(p=0.2),0.85,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.2),0.9,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.2),0.95,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.4),0.01,1.0,0.0,1.0,10.5,50
Always Cooperate,Random(p=0.4),0.02,1.0,0.0,1.0,8.16,50
Always Cooperate,Random(p=0.4),0.05,1.0,0.0,1.0,5.6,50
Always Cooperate,Random(p=0.4),0.1,1.0,0.0,1.0,4.26,50
Always Cooperate,Random(p=0.4),0.15,1.0,0.0,1.0,3.46,50
Always Cooperate,Random(p=0.4),0.2,1.0,0.0,1.0,3.18,50
Always Cooperate,Random(p=0.4),0.25,1.0,0.0,1.0,2.5,50
Always Cooperate,Random(p=0.4),0.3,1.0,0.0,1.0,2.12,50
Always Cooperate,Random(p=0.4),0.35,1.0,0.0,1.0,2.08,50
Always Cooperate,Random(p=0.4),0.4,1.0,0.0,1.0,2.0,50
Always Cooperate,Random(p=0.4),0.45,1.0,0.0,1.0,1.96,50
Always Cooperate,Random(p=0.4),0.5,1.0,0.0,1.0,1.84,50
Always Cooperate,Random(p=0.4),0.55,1.0,0.0,1.0,1.58,50
Always Cooperate,Random(p=0.4),0.6,1.0,0.0,1.0,1.24,50
Always Cooperate,Random(p=0.4),0.65,1.0,0.0,1.0,1.18,50
Always Cooperate,Random(p=0.4),0.7,1.0,0.0,1.0,1.04,50
Always Cooperate,Random(p=0.4),0.75,1.0,0.0,1.0,1.02,50
Always Cooperate,Random(p=0.4),0.8,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.4),0.85,1.0,0.0,1.0,1.02,50
Always Cooperate,Random(p=0.4),0.9,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.4),0.95,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.6),0.01,1.0,0.0,1.0,10.34,50
Always Cooperate,Random(p=0.6),0.02,1.0,0.0,1.0,8.16,50
Always Cooperate,Random(p=0.6),0.05,1.0,0.0,1.0,5.42,50
Always Cooperate,Random(p=0.6),0.1,1.0,0.0,1.0,4.2,50
Always Cooperate,Random(p=0.6),0.15,1.0,0.0,1.0,3.3,50
Always Cooperate,Random(p=0.6),0.2,1.0,0.0,1.0,3.04,50
Always Cooperate,Random(p=0.6),0.25,1.0,0.0,1.0,2.64,50
Always Cooperate,Random(p=0.6),0.3,1.0,0.0,1.0,2.1,50
Always Cooperate,Random(p=0.6),0.35,1.0,0.0,1.0,2.04,50
Always Cooperate,Random(p=0.6),0.4,1.0,0.0,1.0,2.0,50
Always Cooperate,Random(p=0.6),0.45,1.0,0.0,1.0,1.98,50
Always Cooperate,Random(p=0.6),0.5,1.0,0.0,1.0,1.86,50
Always Cooperate,Random(p=0.6),0.55,1.0,0.0,1.0,1.72,50
Always Cooperate,Random(p=0.6),0.6,1.0,0.0,1.0,1.42,50
Always Cooperate,Random(p=0.6),0.65,1.0,0.0,1.0,1.24,50
Always Cooperate,Random(p=0.6),0.7,1.0,0.0,1.0,1.12,50
Always Cooperate,Random(p=0.6),0.75,1.0,0.0,1.0,1.06,50
Always Cooperate,Random(p=0.6),0.8,1.0,0.0,1.0,1.02,50
Always Cooperate,Random(p=0.6),0.85,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.6),0.9,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.6),0.95,1.0,0.0,1.0,1.0,50
Always Cooperate,Random(p=0.8),0.01,1.0,0.0,1.0,10.54,50
Always Cooperate,Random(p=0.8),0.02,1.0,0.0,1.0,8.46,50
Always Cooperate,Random(p=0.8),0.05,1.0,0.0,1.0,5.74,50
Always Cooperate,Random(p=0.8),0.1,1.0,0.0,1.0,4.34,50
Always Cooperate,Random(p=0.8),0.15,1.0,0.0,1.0,3.48,50
Always Cooperate,Random(p=0.8),0.2,1.0,0.0,1.0,3.1,50
Always Cooperate,Random(p=0.8),0.25,1.0,0.0,1.0,2.78,50
Always Cooperate,Random(p=0.8),0.3,1.0,0.0,1.0,2.34,50
Always Cooperate,Random(p=0.8),0.35,1.0,0.0,1.0,2.14,50
Always Cooperate,Random(p=0.8),0.4,1.0,0.0,1.0,2.06,50
Always Cooperate,Random(p=0.8),0.45,1.0,0.0,1.0,2.04,50
Always Cooperate,Random(p=0.8),0.5,1.0,0.0,1.0,1.94,50
Always Cooperate,Random(p=0.8),0.55,1.0,0.0,1.0,1.82,50
Always Cooperate,Random(p=0.8),0.6,1.0,0.0,1.0,1.74,50
Always Cooperate,Random(p=0.8),0.65,1.0,0.0,1.0,1.58,50
Always Cooperate,Random(p=0.8),0.7,1.0,0.0,1.0,1.48,50
Always Cooperate,Random(p=0.8),0.75,1.0,0.0,1.0,1.3,50
Always Cooperate,Random(p=0.8),0.8,1.0,0.0,1.0,1.2,50
Always Cooperate,Random(p=0.8),0.85,1.0,0.0,1.0,1.22,50
Always Cooperate,Random(p=0.8),0.9,1.0,0.0,1.0,1.1,50
Always Cooperate,Random(p=0.8),0.95,1.0,0.0,1.0,1.06,50
Always Cooperate,Tit-for-Tat,0.01,0.009765625,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.02,0.01953125,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.05,0.0498046875,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.1,0.099609375,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.15,0.150390625,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.2,0.2001953125,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.25,0.25,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.3,0.2998046875,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.35,0.349609375,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.4,0.400390625,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.45,0.4501953125,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.5,0.5,0.0,0.0,50.0,50
Always Cooperate,Tit-for-Tat,0.55,0.5498046875,0.0,1.0,50.0,50
Always Cooperate,Tit-for-Tat,0.6,0.599609375,0.0,1.0,50.0,50
