resident,invader,initial_fraction,final_fraction,generations_run,fixated,invader_won,seed
Always Cooperate,Always Defect,0.05,0.9912109375,30,False,True,22480
Always Cooperate,Always Defect,0.05,1.0,10,True,True,22581
Always Cooperate,Always Defect,0.05,0.98046875,30,False,True,22682
Always Cooperate,Always Defect,0.05,0.9677734375,30,False,True,22783
Always Cooperate,Always Defect,0.05,0.982421875,30,False,True,22884
Always Cooperate,Always Defect,0.05,0.9912109375,30,False,True,22985
Always Cooperate,Always Defect,0.1,1.0,5,True,True,30063
Always Cooperate,Always Defect,0.1,0.9853515625,30,False,True,30164
Always Cooperate,Always Defect,0.1,0.9794921875,30,False,True,30265
Always Cooperate,Always Defect,0.1,1.0,5,True,True,30366
Always Cooperate,Always Defect,0.1,1.0,5,True,True,30467
Always Cooperate,Always Defect,0.1,0.98828125,30,False,True,30568
Always Cooperate,Always Defect,0.1,1.0,6,True,True,30669
Always Cooperate,Always Defect,0.1,0.9853515625,30,False,True,30770
Always Cooperate,Always Defect,0.1,1.0,8,True,True,30871
Always Cooperate,Always Defect,0.1,1.0,4,True,True,30972
Always Cooperate,Always Defect,0.1,0.98828125,30,False,True,31073
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31174
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31275
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31376
Always Cooperate,Always Defect,0.1,0.9794921875,30,False,True,31477
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31578
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31679
Always Cooperate,Always Defect,0.1,0.98828125,30,False,True,31780
Always Cooperate,Always Defect,0.1,1.0,5,True,True,31881
Always Cooperate,Always Defect,0.1,1.0,7,True,True,31982
Always Cooperate,Always Defect,0.1,0.9912109375,30,False,True,32083
Always Cooperate,Always Defect,0.1,1.0,4,True,True,32184
Always Cooperate,Always Defect,0.1,0.98828125,30,False,True,32285
Always Cooperate,Always Defect,0.1,1.0,4,True,True,32386
Always Cooperate,Always Defect,0.1,1.0,5,True,True,32487
Always Cooperate,Always Defect,0.1,1.0,5,True,True,32588
Always Cooperate,Always Defect,0.1,1.0,5,True,True,32689
Always Cooperate,Always Defect,0.1,1.0,5,True,True,32790
Always Cooperate,Always Defect,0.1,0.9912109375,30,False,True,32891
Always Cooperate,Always Defect,0.1,1.0,6,True,True,32992
Always Cooperate,Always Defect,0.15,0.9912109375,30,False,True,40070
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40171
Always Cooperate,Always Defect,0.15,1.0,4,True,True,40272
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40373
Always Cooperate,Always Defect,0.15,0.9912109375,30,False,True,40474
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40575
Always Cooperate,Always Defect,0.15,0.9853515625,30,False,True,40676
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40777
Always Cooperate,Always Defect,0.15,1.0,3,True,True,40878
Always Cooperate,Always Defect,0.15,0.98828125,30,False,True,40979
Always Cooperate,Always Defect,0.15,1.0,3,True,True,41080
Always Cooperate,Always Defect,0.15,1.0,4,True,True,41181
Always Cooperate,Always Defect,0.15,1.0,3,True,True,41282
Always Cooperate,Always Defect,0.15,1.0,3,True,True,41383
Always Cooperate,Always Defect,0.15,1.0,4,True,True,41484
Always Cooperate,Always Defect,0.15,0.9912109375,30,False,True,41585
Always Cooperate,Always Defect,0.15,0.98828125,30,False,True,41686
Always Cooperate,Always Defect,0.15,0.98828125,30,False,True,41787
Always Cooperate,Always Defect,0.15,1.0,5,True,True,41888
Always Cooperate,Always Defect,0.15,1.0,4,True,True,41989
Always Cooperate,Always Defect,0.15,1.0,5,True,True,42090
Always Cooperate,Always Defect,0.15,0.9912109375,30,False,True,42191
Always Cooperate,Always Defect,0.15,1.0,3,True,True,42292
Always Cooperate,Always Defect,0.15,1.0,5,True,True,42393
Always Cooperate,Always Defect,0.15,0.9912109375,30,False,True,42494
Always Cooperate,Always Defect,0.15,1.0,3,True,True,42595
Always Cooperate,Always Defect,0.15,1.0,4,True,True,42696
Always Cooperate,Always Defect,0.15,0.9912109375,30,False,True,42797
Always Cooperate,Always Defect,0.15,1.0,4,True,True,42898
Always Cooperate,Always Defect,0.15,0.982421875,30,False,True,42999
Always Cooperate,Always Defect,0.2,0.98828125,30,False,True,50077
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50178
Always Cooperate,Always Defect,0.2,1.0,4,True,True,50279
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50380
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50481
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50582
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50683
Always Cooperate,Always Defect,0.2,1.0,3,True,True,50784
Always Cooperate,Always Defect,0.2,0.9912109375,30,False,True,50885
Always Cooperate,Always Defect,0.2,1.0,4,True,True,50986
Always Cooperate,Always Defect,0.2,0.9853515625,30,False,True,51087
Always Cooperate,Always Defect,0.2,1.0,3,True,True,51188
Always Cooperate,Always Defect,0.2,1.0,3,True,True,51289
Always Cooperate,Always Defect,0.2,1.0,4,True,True,51390
Always Cooperate,Always Defect,0.2,1.0,4,True,True,51491
Always Cooperate,Always Defect,0.2,0.9912109375,30,False,True,51592
Always Cooperate,Always Defect,0.2,0.9912109375,30,False,True,51693
Always Cooperate,Always Defect,0.2,0.9912109375,30,False,True,51794
Always Cooperate,Always Defect,0.2,1.0,4,True,True,51895
Always Cooperate,Always Defect,0.2,1.0,3,True,True,51996
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52097
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52198
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52299
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52400
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52501
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52602
Always Cooperate,Always Defect,0.2,0.98828125,30,False,True,52703
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52804
Always Cooperate,Always Defect,0.2,1.0,3,True,True,52905
Always Cooperate,Always Defect,0.2,1.0,4,True,True,53006
Always Cooperate,Always Defect,0.25,0.9912109375,30,False,True,60084
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60185
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60286
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60387
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60488
Always Cooperate,Always Defect,0.25,1.0,2,True,True,60589
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60690
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60791
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60892
Always Cooperate,Always Defect,0.25,1.0,3,True,True,60993
Always Cooperate,Always Defect,0.25,1.0,4,True,True,61094
Always Cooperate,Always Defect,0.25,1.0,3,True,True,61195
Always Cooperate,Always Defect,0.25,1.0,2,True,True,61296
Always Cooperate,Always Defect,0.25,1.0,2,True,True,61397
Always Cooperate,Always Defect,0.25,1.0,3,True,True,61498
Always Cooperate,Always Defect,0.25,0.984375,30,False,True,61599
Always Cooperate,Always Defect,0.25,1.0,2,True,True,61700
Always Cooperate,Always Defect,0.25,1.0,3,True,True,61801
Always Cooperate,Always Defect,0.25,1.0,2,True,True,61902
Always Cooperate,Always Defect,0.25,1.0,3,True,True,62003
Always Cooperate,Always Defect,0.25,1.0,2,True,True,62104
Always Cooperate,Always Defect,0.25,1.0,2,True,True,62205
Always Cooperate,Always Defect,0.25,1.0,3,True,True,62306
Always Cooperate,Always Defect,0.25,1.0,2,True,True,62407
Always Cooperate,Always Defect,0.25,1.0,3,True,True,62508
Always Cooperate,Always Defect,0.25,1.0,3,True,True,62609
Always Cooperate,Always Defect,0.25,1.0,3,True,True,62710
Always Cooperate,Always Defect,0.25,0.9912109375,30,False,True,62811
