resident,Always Cooperate,Always Defect,Random(p=0.2),Random(p=0.4),Random(p=0.6),Random(p=0.8),Tit-for-Tat
Always Cooperate,,0.01,0.01,0.01,0.01,0.01,0.525
Always Defect,,,0.25,,,,0.03695652173913044
Random(p=0.2),,0.74,,,,,0.04250000000000001
Random(p=0.4),,0.046,0.021875,,,,0.058333333333333334
Random(p=0.6),,0.01,0.01,0.01,,,0.13
Random(p=0.8),,0.01,0.01,0.01,0.01,,
Tit-for-Tat,0.525,,,0.9361111111111111,0.8772727272727273,0.035,
