strategy,n_players,avg_total_payoff,std_total_payoff,avg_per_match,avg_per_round
Always Defect,100,12585.52,79.29518818116811,12.598118118118117,2.5196236236236236
Random(p=0.2),100,12417.53,82.1492181362918,12.42995995995996,2.485991991991992
Random(p=0.4),100,12130.62,89.52092244584821,12.142762762762764,2.4285525525525524
Tit-for-Tat,400,12004.3,48.136866274580484,12.016316316316315,2.403263263263263
Random(p=0.6),100,11731.47,76.94776596411808,11.743213213213215,2.348642642642643
Random(p=0.8),100,11163.24,73.82194248270073,11.174414414414414,2.234882882882883
Always Cooperate,100,10478.97,57.73843056090444,10.48945945945946,2.097891891891892
