player_id,strategy,n_matches,total_payoff,avg_payoff_per_match,avg_payoff_per_round
0,Always Cooperate,999,10515,10.525525525525525,2.105105105105105
1,Always Cooperate,999,10431,10.441441441441441,2.0882882882882883
2,Always Cooperate,999,10569,10.57957957957958,2.1159159159159158
3,Always Cooperate,999,10617,10.627627627627628,2.125525525525526
4,Always Cooperate,999,10545,10.555555555555555,2.111111111111111
5,Always Cooperate,999,10347,10.357357357357357,2.0714714714714715
6,Always Cooperate,999,10488,10.498498498498499,2.0996996996996997
7,Always Cooperate,999,10470,10.48048048048048,2.096096096096096
8,Always Cooperate,999,10416,10.426426426426426,2.085285285285285
9,Always Cooperate,999,10443,10.453453453453454,2.090690690690691
10,Always Cooperate,999,10350,10.36036036036036,2.0720720720720722
11,Always Cooperate,999,10407,10.417417417417417,2.0834834834834832
12,Always Cooperate,999,10518,10.528528528528529,2.105705705705706
13,Always Cooperate,999,10482,10.492492492492492,2.0984984984984982
14,Always Cooperate,999,10524,10.534534534534535,2.106906906906907
15,Always Cooperate,999,10428,10.438438438438439,2.087687687687688
16,Always Cooperate,999,10509,10.51951951951952,2.103903903903904
17,Always Cooperate,999,10470,10.48048048048048,2.096096096096096
18,Always Cooperate,999,10500,10.51051051051051,2.1021021021021022
19,Always Cooperate,999,10497,10.507507507507508,2.1015015015015015
20,Always Cooperate,999,10536,10.546546546546546,2.1093093093093094
21,Always Cooperate,999,10494,10.504504504504505,2.1009009009009008
22,Always Cooperate,999,10506,10.516516516516516,2.1033033033033033
23,Always Cooperate,999,10479,10.48948948948949,2.097897897897898
24,Always Cooperate,999,10563,10.573573573573574,2.1147147147147147
25,Always Cooperate,999,10344,10.354354354354355,2.0708708708708707
26,Always Cooperate,999,10509,10.51951951951952,2.103903903903904
27,Always Cooperate,999,10455,10.465465465465465,2.093093093093093
28,Always Cooperate,999,10467,10.477477477477477,2.0954954954954954
29,Always Cooperate,999,10488,10.498498498498499,2.0996996996996997
30,Always Cooperate,999,10479,10.48948948948949,2.097897897897898
31,Always Cooperate,999,10506,10.516516516516516,2.1033033033033033
32,Always Cooperate,999,10545,10.555555555555555,2.111111111111111
33,Always Cooperate,999,10512,10.522522522522523,2.1045045045045048
34,Always Cooperate,999,10437,10.447447447447447,2.0894894894894893
35,Always Cooperate,999,10533,10.543543543543544,2.1087087087087086
36,Always Cooperate,999,10437,10.447447447447447,2.0894894894894893
37,Always Cooperate,999,10551,10.561561561561561,2.112312312312312
38,Always Cooperate,999,10491,10.501501501501501,2.1003003003003
39,Always Cooperate,999,10446,10.456456456456456,2.091291291291291
40,Always Cooperate,999,10401,10.411411411411411,2.082282282282282
41,Always Cooperate,999,10470,10.48048048048048,2.096096096096096
42,Always Cooperate,999,10413,10.423423423423424,2.0846846846846847
43,Always Cooperate,999,10524,10.534534534534535,2.106906906906907
44,Always Cooperate,999,10548,10.558558558558559,2.111711711711712
45,Always Cooperate,999,10521,10.531531531531531,2.106306306306306
46,Always Cooperate,999,10476,10.486486486486486,2.097297297297297
47,Always Cooperate,999,10539,10.54954954954955,2.10990990990991
48,Always Cooperate,999,10413,10.423423423423424,2.0846846846846847
49,Always Cooperate,999,10509,10.51951951951952,2.103903903903904
50,Always Cooperate,999,10449,10.45945945945946,2.091891891891892
51,Always Cooperate,999,10407,10.417417417417417,2.0834834834834832
52,Always Cooperate,999,10440,10.45045045045045,2.09009009009009
53,Always Cooperate,999,10497,10.507507507507508,2.1015015015015015
54,Always Cooperate,999,10488,10.498498498498499,2.0996996996996997
55,Always Cooperate,999,10428,10.438438438438439,2.087687687687688
56,Always Cooperate,999,10488,10.498498498498499,2.0996996996996997
57,Always Cooperate,999,10476,10.486486486486486,2.097297297297297
58,Always Cooperate,999,10542,10.552552552552553,2.110510510510511
59,Always Cooperate,999,10497,10.507507507507508,2.1015015015015015
60,Always Cooperate,999,10545,10.555555555555555,2.111111111111111
61,Always Cooperate,999,10674,10.684684684684685,2.136936936936937
62,Always Cooperate,999,10446,10.456456456456456,2.091291291291291
63,Always Cooperate,999,10512,10.522522522522523,2.1045045045045048
64,Always Cooperate,999,10527,10.537537537537538,2.1075075075075076
65,Always Cooperate,999,10452,10.462462462462462,2.092492492492492
66,Always Cooperate,999,10380,10.39039039039039,2.078078078078078
67,Always Cooperate,999,10488,10.498498498498499,2.0996996996996997
68,Always Cooperate,999,10422,10.432432432432432,2.0864864864864865
69,Always Cooperate,999,10440,10.45045045045045,2.09009009009009
70,Always Cooperate,999,10425,10.435435435435435,2.0870870870870872
71,Always Cooperate,999,10377,10.387387387387387,2.077477477477477
72,Always Cooperate,999,10476,10.486486486486486,2.097297297297297
73,Always Cooperate,999,10467,10.477477477477477,2.0954954954954954
74,Always Cooperate,999,10374,10.384384384384385,2.076876876876877
75,Always Cooperate,999,10542,10.552552552552553,2.110510510510511
76,Always Cooperate,999,10551,10.561561561561561,2.112312312312312
77,Always Cooperate,999,10524,10.534534534534535,2.106906906906907
78,Always Cooperate,999,10533,10.543543543543544,2.1087087087087086
79,Always Cooperate,999,10422,10.432432432432432,2.0864864864864865
80,Always Cooperate,999,10503,10.513513513513514,2.102702702702703
81,Always Cooperate,999,10437,10.447447447447447,2.0894894894894893
82,Always Cooperate,999,10488,10.498498498498499,2.0996996996996997
83,Always Cooperate,999,10509,10.51951951951952,2.103903903903904
84,Always Cooperate,999,10467,10.477477477477477,2.0954954954954954
85,Always Cooperate,999,10533,10.543543543543544,2.1087087087087086
86,Always Cooperate,999,10452,10.462462462462462,2.092492492492492
87,Always Cooperate,999,10425,10.435435435435435,2.0870870870870872
88,Always Cooperate,999,10551,10.561561561561561,2.112312312312312
89,Always Cooperate,999,10464,10.474474474474475,2.094894894894895
90,Always Cooperate,999,10443,10.453453453453454,2.090690690690691
91,Always Cooperate,999,10488,10.498498498498499,2.0996996996996997
92,Always Cooperate,999,10476,10.486486486486486,2.097297297297297
93,Always Cooperate,999,10518,10.528528528528529,2.105705705705706
94,Always Cooperate,999,10377,10.387387387387387,2.077477477477477
95,Always Cooperate,999,10416,10.426426426426426,2.085285285285285
96,Always Cooperate,999,10491,10.501501501501501,2.1003003003003
97,Always Cooperate,999,10404,10.414414414414415,2.082882882882883
98,Always Cooperate,999,10488,10.498498498498499,2.0996996996996997
99,Always Cooperate,999,10560,10.57057057057057,2.114114114114114
100,Always Defect,999,12675,12.687687687687689,2.5375375375375375
101,Always Defect,999,12699,12.711711711711711,2.542342342342342
102,Always Defect,999,12599,12.611611611611611,2.522322322322322
103,Always Defect,999,12539,12.551551551551551,2.5103103103103104
104,Always Defect,999,12591,12.603603603603604,2.5207207207207207
105,Always Defect,999,12799,12.811811811811811,2.562362362362362
106,Always Defect,999,12567,12.57957957957958,2.515915915915916
107,Always Defect,999,12583,12.595595595595595,2.519119119119119
108,Always Defect,999,12431,12.443443443443444,2.488688688688689
109,Always Defect,999,12559,12.571571571571571,2.5143143143143143
110,Always Defect,999,12623,12.635635635635635,2.527127127127127
111,Always Defect,999,12467,12.47947947947948,2.495895895895896
112,Always Defect,999,12523,12.535535535535535,2.507107107107107
113,Always Defect,999,12455,12.467467467467467,2.493493493493493
114,Always Defect,999,12487,12.4994994994995,2.4998998998999
115,Always Defect,999,12595,12.607607607607608,2.521521521521522
116,Always Defect,999,12687,12.6996996996997,2.53993993993994
